,avg_bbox_longevity,90p_bbox_longevity,10p_bbox_longevity,avg_num_bboxes,90p_num_bboxes,10p_num_bboxes,avg_bbox_size,90p_bbox_size,10p_bbox_size,avg_bbox_speed,90p_bbox_speed,10p_bbox_speed,avg_ego_speed,90p_ego_speed,10p_ego_speed,time_of_day,weather,location,scenario_name
0,30.91176470588235,40.0,2.6000000000000005,26.275,28.1,25.0,9615.562866533486,10572.759388561184,8697.939166238812,28.649461819135684,43.88444307649661,15.669193092355652,15.514473456442037,15.636172640903693,15.265230440508448,Day,sunny,location_other,training_0005-S21-P0_5
1,26.862745098039216,40.0,9.0,34.25,38.1,30.0,7017.077811069743,8535.229777224971,4924.879564456039,31.022409361980927,36.85228191324377,24.876021117677894,13.33388671989456,14.799803262942115,11.430260567124986,Day,sunny,location_other,training_0005-S21-P1_5
2,26.693548387096776,40.0,7.1000000000000005,41.375,44.0,39.0,4222.771505566474,4720.979819751295,3775.1453281987647,29.741210197764453,33.84114496262302,25.606128284414122,8.17721895789352,10.081183441595392,6.143036588469384,Day,sunny,location_other,training_0005-S21-P2_5
3,28.272727272727273,40.0,11.4,38.875,43.1,35.0,7909.020703019445,10125.220885663599,5905.769874395322,26.221476096486075,31.462016973926886,21.70453138076177,2.692500695178996,4.6881214897920716,0.8244341865225042,Day,sunny,location_other,training_0005-S21-P3_5
4,30.5,38.0,13.0,36.921052631578945,39.300000000000004,35.0,10802.094934913932,11284.339664447685,10150.595597314374,21.6214914043123,25.531950270236138,18.595998574396134,0.019974091121594647,0.04997973095147021,0.0,Day,sunny,location_other,training_0005-S21-P4_5
5,37.475,40.0,38.300000000000004,37.475,39.0,37.0,11025.372401717279,14113.316238977404,8426.88163610223,15.204407499509605,19.066402203371943,10.703207698852896,0.0,0.0,0.0,Day,sunny,location_sf,training_0000-S23-P0_5
6,36.80952380952381,40.0,26.099999999999998,38.65,39.1,38.0,14958.375187395719,19144.623899764538,11930.52473896292,21.01577398357585,25.307599340277335,17.65305959444314,0.0,0.0,0.0,Day,sunny,location_sf,training_0000-S23-P1_5
7,36.1,40.0,29.0,36.1,37.0,35.0,10795.023080736948,14313.618300917611,5714.830490992499,15.715364306922194,20.713969054319087,6.41047834139449,0.0,0.0,0.0,Day,sunny,location_sf,training_0000-S23-P2_5
8,36.80952380952381,40.0,27.400000000000002,38.65,40.0,37.0,10703.36997014489,13859.561622482652,6967.637677541628,19.768756419156436,23.321425736844,14.193495887037802,0.02202200555404353,0.09461095287128964,0.0,Day,sunny,location_sf,training_0000-S23-P3_5
9,30.72093023255814,39.0,9.200000000000001,33.87179487179487,38.0,31.0,5671.391707935222,8259.071988693508,3185.789169446801,27.51103869364443,40.72172622463647,16.972298563421774,0.9660095159569991,1.5296906551404115,0.4154661001138372,Day,sunny,location_sf,training_0000-S23-P4_5
10,26.46153846153846,40.0,6.0,34.4,40.0,31.9,13495.313345322875,16623.576158753807,6796.834249028954,35.63589472842317,40.012813130579694,32.531967436349156,13.977768530727284,14.401298643922273,13.12970790982872,Day,sunny,location_phx,training_0002-S1-P0_5
11,27.52173913043478,40.0,5.5,31.65,34.0,29.0,6725.6234028744975,9365.499511375114,4529.572805448056,33.22830944620313,42.01911730861543,25.973419262136908,11.891045805644854,12.078502972827842,11.706775863859288,Day,sunny,location_phx,training_0002-S1-P1_5
12,26.08,40.0,6.0,32.6,37.0,27.9,7546.345370231592,10669.230744318082,5381.867013839938,34.544806989371544,41.22493739319557,22.921588318032505,12.057009048043184,12.647063563909894,11.152699827301308,Day,sunny,location_phx,training_0002-S1-P2_5
13,29.529411764705884,40.0,12.0,37.65,39.1,36.0,5519.26959545712,9627.985734095188,2285.7710511430537,19.129241773452396,25.917928823274348,11.895440756652466,4.64597036787362,8.904438998706343,0.8518831970632403,Day,sunny,location_phx,training_0002-S1-P3_5
14,29.844444444444445,39.0,11.4,34.43589743589744,37.2,28.799999999999997,2561.5985805545192,3024.116509800024,2251.191419489583,23.177755377300333,28.774671182234393,14.537813932653792,5.068489477677267,8.54883007246516,1.5726965710946565,Day,sunny,location_phx,training_0002-S1-P4_5
15,25.38888888888889,40.0,16.8,11.425,17.0,4.0,48680.8639573477,90069.33649926551,20520.890568253162,169.64256021908827,224.19334789503685,61.69558318991926,5.4294700351842895,6.023836372729124,4.910903490206817,Day,sunny,location_sf,training_0000-S3-P0_5
16,32.45454545454545,40.0,19.1,17.85,19.0,16.0,25666.636931121582,31299.283053481613,18432.440251843967,35.81766234277276,41.54566861662064,28.338143667822614,7.245152008829747,7.968896733953597,6.501731651386668,Day,sunny,location_sf,training_0000-S3-P1_5
17,32.21052631578947,40.0,7.8,15.3,19.0,12.9,35188.889937745924,43341.735530413884,20538.613152964812,56.97242905723792,66.06711368336684,46.08512868376367,7.556529130749422,8.039901965346488,6.8520721191002005,Day,sunny,location_sf,training_0000-S3-P2_5
18,24.0,39.9,5.600000000000001,7.2,9.0,5.0,52148.9180864077,62924.54451763198,42559.32013447612,80.2754229088008,103.64979524637707,63.148389327812225,4.86177265053138,6.09084786860871,3.530397697222075,Day,sunny,location_sf,training_0000-S3-P3_5
19,30.0,38.0,18.8,2.3684210526315788,3.0,2.0,107873.68592157889,134814.53079953993,67766.53891880048,36.90389745387984,73.22842620632738,22.025292595109253,1.3086275118747428,2.496222875697461,0.4587824414327835,Day,sunny,location_sf,training_0000-S3-P4_5
20,34.214285714285715,40.0,19.9,11.975,13.0,11.0,27059.52007717744,29232.640599449755,24578.53255996575,43.62410940708211,63.740750753222315,26.4398111423817,0.0,0.0,0.0,Dawn/Dusk,sunny,location_phx,training_0002-S20-P0_5
21,30.666666666666668,40.0,10.399999999999999,11.5,13.0,10.0,32396.25264115683,42513.52675889327,27682.148913016295,34.584524221604205,47.246068189702285,22.585571593279877,0.0,0.0,0.0,Dawn/Dusk,sunny,location_phx,training_0002-S20-P1_5
22,31.352941176470587,40.0,13.0,13.325,14.0,12.0,29092.069030102062,33053.972327480864,26091.810265268345,45.56910197988781,83.20418835271406,16.150373017258563,0.018675781257952197,0.02970830819854657,0.0,Dawn/Dusk,sunny,location_phx,training_0002-S20-P2_5
23,18.875,32.5,8.0,7.55,14.0,2.0,183643.13731573473,413436.33227095933,36301.16169983009,64.13609161785271,113.49093566628949,26.77288354094523,0.0166246976147796,0.04687354066823908,0.0,Dawn/Dusk,sunny,location_phx,training_0002-S20-P3_5
24,30.105263157894736,37.4,18.4,14.666666666666666,17.0,8.0,49923.18155709638,107827.43414699659,23479.123585447283,46.92774903128792,65.79033241103659,29.330792671479117,0.0,0.0,0.0,Dawn/Dusk,sunny,location_phx,training_0002-S20-P4_5
25,33.857142857142854,40.0,14.700000000000001,23.7,27.0,21.0,8185.797680503552,9872.999080205163,5894.864762685111,26.778241782750253,31.378667733163187,22.174634999801565,5.3908401891694995,6.296272778924165,4.658711253152042,Day,sunny,location_sf,training_0002-S15-P0_5
