,avg_bbox_longevity,90p_bbox_longevity,10p_bbox_longevity,avg_num_bboxes,90p_num_bboxes,10p_num_bboxes,avg_bbox_size,90p_bbox_size,10p_bbox_size,avg_bbox_speed,90p_bbox_speed,10p_bbox_speed,avg_ego_speed,90p_ego_speed,10p_ego_speed,time_of_day,weather,location,scenario_name
0,8.758620689655173,10.0,5.6000000000000005,25.4,27.0,24.0,2403.3240376335143,2841.1929270636774,2034.4241046384982,32.83543848662028,35.72543761591327,29.843993070566388,17.977145123673054,18.116050535721634,17.83760600698818,Day,sunny,location_phx,training_0004-S0-P0_20
1,9.137931034482758,10.0,6.0,26.5,28.0,25.0,2886.497445573407,3025.362606428427,2737.0298354912334,42.37965339508486,45.26049389788818,38.670480353226964,17.588967059707052,17.729155894604844,17.4352886781,Day,sunny,location_phx,training_0004-S0-P1_20
2,9.074074074074074,10.0,6.6000000000000005,24.5,26.0,22.9,3573.609696696594,4353.09824612478,2918.2623025453127,58.213872096884735,61.18894051840603,55.33681847679854,17.20984115794439,17.35154218829717,17.061611462098956,Day,sunny,location_phx,training_0004-S0-P2_20
3,8.130434782608695,10.0,3.2,18.7,21.099999999999998,16.0,3587.998607908198,4470.793780341791,2975.705371622461,45.926542600220486,50.810580460052634,41.58487272519601,16.991411331699048,17.026577318152018,16.95842415757264,Day,sunny,location_phx,training_0004-S0-P3_20
4,9.529411764705882,10.0,8.6,16.2,17.0,16.0,3656.2751352018045,4390.913269487926,3122.8576556418684,43.226009028999606,45.61574054444475,40.40413383659153,17.11595581268501,17.218031659614525,17.040563870293393,Day,sunny,location_phx,training_0004-S0-P4_20
5,8.625,10.0,4.5,13.8,15.1,12.0,3069.3700194887865,3502.8708278869103,2775.7798114356283,45.5727578403571,50.84291616537457,42.07270383319076,17.70222874153286,18.090912093096954,17.3681240564691,Day,sunny,location_phx,training_0004-S0-P5_20
6,8.846153846153847,10.0,5.6000000000000005,11.5,12.0,11.0,2184.0533799920113,2534.5497494712176,1862.8840357948643,55.19144032830684,67.58735490088455,43.12248645106093,18.624162903247374,18.85561906973084,18.297927015582435,Day,sunny,location_phx,training_0004-S0-P6_20
7,9.181818181818182,10.0,9.0,10.1,11.0,9.7,2318.446376581517,2931.051196182299,1816.2267336068414,38.97172105473577,40.986852712821275,37.135730043146694,19.1006449056779,19.17854371451403,19.023128249320735,Day,sunny,location_phx,training_0004-S0-P7_20
8,8.875,10.0,6.800000000000001,7.1,8.0,6.0,1356.0588424723508,2276.65391053691,773.8749680987924,9.349318773794513,10.654738611125612,8.114307955122097,19.101951378050778,19.156404008790823,19.05979984235974,Day,sunny,location_phx,training_0004-S0-P8_20
9,7.375,10.0,4.4,5.9,8.0,4.0,953.8789082983773,1257.391375964009,679.9106389618646,10.104457677162335,15.547111478749969,6.159514988789741,18.943421989835933,19.023962381564573,18.869467901605898,Day,sunny,location_phx,training_0004-S0-P9_20
